Pertanyaan,Konteks,Jawaban
Bagaimana cara bikin SIM di Kota Malang?,Administrasi,"Untuk membuat SIM di Malang, Anda bisa mengikuti prosedur berikut:
- Datang ke kantor polisi terdekat dan mengambil formulir permohonan SIM
- Isi formulir dengan lengkap dan benar
- Bayar biaya administrasi sesuai jenis SIM yang diajukan
- Ambil foto dan tanda tangan
- Ikuti ujian teori dan praktik
- Jalani tes kesehatan
- Ambil SIM jika berhasil melewati ujian teori dan praktik 

Syarat-syarat untuk membuat SIM di antaranya: Memiliki Kartu Tanda Penduduk (KTP), Sehat jasmani dan rohani, Berpenampilan rapi dan bersepatu. Biaya pembuatan SIM bervariasi tergantung jenis SIM yang dibuat. Misalnya, SIM A, SIM B1, dan SIM B2 biayanya Rp120.000, sedangkan SIM C biayanya Rp100.000. Anda juga bisa memperpanjang SIM secara online melalui aplikasi Digital Korlantas Polri."
Bagaimana cara membuat NPWP?,Administrasi,"Untuk membuat Nomor Pokok Wajib Pajak (NPWP) di Kota Malang, Anda bisa mengikuti prosedur berikut:
	•	Datang ke kantor pajak terdekat atau mendaftar secara online melalui situs resmi Direktorat Jenderal Pajak.
	•	Siapkan berkas: KTP bagi WNI, Paspor dan KITAS/KITAP bagi WNA.
	•	Isi formulir pendaftaran yang disediakan.
	•	Setelah verifikasi, NPWP akan diterbitkan dan dapat diambil atau dikirimkan ke alamat Anda.
	•	Pendaftaran NPWP online memudahkan Anda tanpa harus datang ke kantor pajak, cukup kunjungi situs pajak.go.id."
Bagaimana cara membuat KTP di Kota Malang?,Administrasi,"Untuk membuat Kartu Tanda Penduduk (KTP) di Kota Malang, Anda bisa mengikuti langkah berikut:
	•	Datang ke Kantor Kelurahan atau Kantor Dinas Kependudukan dan Catatan Sipil setempat.
	•	Bawa dokumen yang dibutuhkan: Fotokopi Kartu Keluarga (KK) dan pas foto berwarna (untuk pembuatan KTP pertama kali).
	•	Isi formulir pendaftaran KTP.
	•	Lakukan perekaman biometrik (foto, sidik jari, tanda tangan digital).
	•	Tunggu proses pencetakan KTP. Biasanya, pembuatan KTP membutuhkan waktu beberapa hari.
	•	KTP dapat diambil di kantor yang ditentukan atau dikirim melalui layanan pos sesuai wilayah."
Apa saja tes yang harus dilakukan saat membuat SIM?,Administrasi,"Saat membuat SIM di Kota Malang, Anda harus mengikuti serangkaian tes berikut:
	•	Tes Kesehatan: Pemeriksaan fisik untuk memastikan Anda sehat jasmani dan rohani.
	•	Tes Teori: Ujian tertulis mengenai aturan lalu lintas dan pengetahuan umum terkait kendaraan.
	•	Tes Praktik: Ujian mengemudi untuk membuktikan kemampuan Anda dalam mengendarai kendaraan sesuai jenis SIM yang diajukan.
	•	Jika Anda lulus kedua ujian tersebut, maka SIM akan diproses dan diberikan kepada Anda."
Bagaimana cara bikin Paspor?,Administrasi,"Untuk membuat paspor di Kota Malang, Anda bisa mengikuti langkah berikut:
	•	Kunjungi Kantor Imigrasi setempat atau mendaftar secara online melalui aplikasi Layanan Paspor Online.
	•	Siapkan berkas: KTP, Kartu Keluarga (KK), akta kelahiran atau ijazah.
	•	Datang ke kantor imigrasi sesuai jadwal dengan membawa dokumen asli.
	•	Isi formulir permohonan paspor, ambil foto, dan perekaman biometrik.
	•	Bayar biaya pembuatan paspor. Untuk paspor biasa, biayanya Rp350.000, sementara paspor elektronik (e-passport) biayanya Rp650.000.
	•	Setelah proses selesai, paspor bisa diambil atau dikirim ke alamat sesuai permintaan."
Apa saja berkas yang harus dipersiapkan jika ingin membuat paspor?,Administrasi,"Untuk membuat paspor, Anda perlu mempersiapkan berkas-berkas berikut:
	•	KTP yang masih berlaku.
	•	Kartu Keluarga (KK).
	•	Akta kelahiran, buku nikah, atau ijazah (sebagai bukti kewarganegaraan).
	•	Paspor lama (jika memperpanjang).
	•	Bagi anak-anak, perlu melampirkan KTP dan KK orang tua serta akta kelahiran anak.
	•	Pastikan berkas asli dan fotokopi tersedia ketika mengajukan permohonan di kantor Imigrasi."
Apa syarat untuk mengurus surat keterangan domisili di Kota Malang?,Administrasi,"Syaratnya meliputi fotokopi KTP, Kartu Keluarga, surat pengantar RT/RW, dan surat permohonan dari pemohon."
Bagaimana cara mengajukan SKCK di Kota Malang?,Administrasi,"Untuk mengajukan SKCK, kunjungi kantor polisi terdekat dengan membawa KTP, fotokopi KK, dan pas foto ukuran 4x6 sebanyak 4 lembar. Pengajuan juga bisa dilakukan online melalui laman resmi Polri."
Bagaimana cara mengurus surat pindah domisili di Kota Malang?,Administrasi,"Bawa fotokopi KTP, KK, surat pengantar RT/RW, dan surat keterangan domisili lama ke Dinas Kependudukan dan Catatan Sipil untuk mendapatkan surat pindah."
Apa saja persyaratan untuk mengurus kartu keluarga (KK) baru?,Administrasi,"Persyaratannya meliputi KTP dan surat nikah (untuk keluarga baru), atau surat keterangan pindah jika Anda berasal dari luar daerah."
Bagaimana cara memperpanjang KTP elektronik?,Administrasi,"Perpanjangan KTP elektronik tidak diperlukan, karena e-KTP berlaku seumur hidup, kecuali ada perubahan data seperti status pernikahan atau alamat."
Apa saja syarat untuk membuat akta kelahiran di Kota Malang?,Administrasi,"Syaratnya antara lain KTP orang tua, Kartu Keluarga, surat keterangan kelahiran dari rumah sakit, buku nikah orang tua, dan fotokopi KTP saksi."
Bagaimana cara mengurus kartu identitas anak (KIA) di Kota Malang?,Administrasi,"Siapkan KTP orang tua, Kartu Keluarga, dan akta kelahiran anak. Ajukan permohonan ke Dinas Kependudukan dan Pencatatan Sipil Kota Malang."
Bagaimana cara memperpanjang paspor?,Administrasi,"Anda bisa memperpanjang paspor dengan membawa paspor lama, KTP, dan KK ke kantor imigrasi atau melalui layanan online pada aplikasi Layanan Paspor Online."
Bagaimana cara mengurus surat kematian di Kota Malang?,Administrasi,"Bawa fotokopi KTP almarhum, Kartu Keluarga, dan surat keterangan kematian dari rumah sakit ke Dinas Kependudukan dan Catatan Sipil untuk mendapatkan akta kematian."
